Gene_ID	ES_rep1	ES_rep2	TN_rep1	TN_rep2
22746	29	27	47	37
235623	122	90	299	454
238690	18	6	71	60
330369	5	4	149	276
407786	9	14	78	46
407788	2	0	9	22
227933	4	2	70	123
232400	0	0	0	0
407812	339	161	548	393
407819	214	126	340	312
407823	651	231	932	1033
407831	0	0	4	0
408022	219	76	47	80
408058	17	22	8	23
408065	31	19	4	4
408068	105	45	49	55
213550	294	166	281	233
208967	376	157	246	228
241226	125	37	67	65
347710	0	0	0	0
109575	0	0	0	0
70484	17	13	0	2
279028	0	0	1	0
76954	181	84	90	215
69568	60	12	12	15
100038854	0	0	0	0
238023	35	27	161	260
381350	0	0	0	0
231999	767	354	370	365
75400	0	0	0	0
193034	0	0	0	3
226143	0	0	0	0
232878	22	17	14	23
380878	0	0	0	0
387132	0	0	0	0
387513	0	0	0	0
387514	0	0	0	0
387515	0	0	0	0
57776	27	21	434	799
54670	16	4	14	24
215928	0	1	4	0
239283	0	0	1	0
326618	1945	943	522	571
385668	1	1	4	2
414077	8	7	3	10
414084	1	0	0	2
414089	2	1	3	16
384701	0	0	0	0
74241	124	67	266	277
69601	566	213	447	654
368202	0	0	0	0
227631	0	1	0	0
234135	406	128	309	750
414801	24	25	44	48
22685	89	36	54	61
107751	0	0	5	2
320940	699	225	398	477
408198	0	0	0	0
384214	9	6	9	18
258248	0	0	0	0
12193	65	31	7	38
258502	0	0	0	0
258420	0	0	0	0
258880	0	0	0	0
258896	0	0	0	0
68481	228	54	95	254
72190	4	1	247	292
269400	867	355	139	237
329152	160	71	541	494
380969	14	12	15	71
381199	9	8	79	130
14972	269	98	57	110
216238	844	295	1224	1076
70417	8	1	122	255
77569	121	87	569	568
195434	2162	631	295	441
214239	12	5	7	26
224020	586	276	713	841
225876	1164	513	605	875
269642	21	18	147	229
329540	27	9	169	326
14724	4	1	224	231
72503	3950	1175	807	1335
406218	5	1	23	57
381066	277	101	267	242
16905	606	390	530	395
15512	101	75	81	67
83561	83	25	0	2
319195	25	20	5	9
72309	7	12	84	60
215798	13	4	28	91
56191	922	344	2036	1678
103677	781	312	464	475
442809	1	1	0	0
442827	1	2	0	0
442829	4	3	3	3
442835	0	0	0	0
378460	1	1	0	1
30843	44	33	27	56
76858	7	6	0	0
106672	11	6	24	24
107993	0	0	4	4
213948	33	22	12	10
320832	0	0	0	0
380975	0	0	0	0
18619	9	8	181	70
445007	1382	618	179	165
232925	0	0	0	0
103964	0	0	0	0
386551	0	0	0	0
431706	9	6	15	13
406220	0	0	18	2
406219	0	0	0	0
406223	0	0	0	0
353236	5	0	422	528
353237	5	1	530	820
14602	0	0	0	0
237542	951	338	917	926
56784	1332	485	2595	2392
13821	286	184	1307	1847
13866	92	46	29	76
16536	26	21	528	762
17175	2	1	1	13
230908	5626	1338	626	1031
67300	11331	4322	5794	7507
70797	466	181	1081	926
103220	12	3	11	19
108153	44	20	41	87
213498	188	84	299	396
216443	2542	1368	554	399
241612	0	0	0	0
245522	64	36	316	279
245860	34	16	89	140
252870	9752	4099	1401	1417
320209	461	217	24	64
381979	86	46	637	618
20168	362	142	920	2088
81906	1	0	36	15
98496	140	72	283	224
216157	108	64	86	162
216363	449	335	245	241
67935	1	0	2	0
387564	0	0	0	0
30841	743	309	291	340
52055	87	77	258	387
13436	3705	1980	7	38
66315	49	18	193	321
19059	0	0	2	16
225497	0	0	0	0
382056	17	6	40	168
56220	259	74	237	282
70227	57	14	96	105
80986	1482	840	142	222
100066	0	0	0	0
195046	0	0	0	0
216825	666	385	2248	2214
216963	213	173	181	261
235779	9	2	0	0
237730	0	1	185	117
237831	14	20	1	0
238803	0	0	0	0
239559	157	110	13	33
239766	0	0	0	0
243862	0	0	0	0
245128	317	174	0	5
245670	597	282	952	856
268759	86	34	19	24
269608	172	103	28	77
380713	5	2	0	0
380907	0	0	0	0
381809	0	0	0	0
432486	442	234	575	693
433323	2	0	2	6
433470	6	4	1	1
433586	38	12	249	209
53883	52	26	196	824
433752	6	1	25	29
433940	2	0	5	21
434008	2	1	90	232
434203	57	24	0	2
434204	126	57	71	117
434234	91	18	31	51
434377	46	10	75	86
434402	12	6	7	13
434439	0	0	0	0
434768	0	0	0	0
446099	1	0	0	0
229715	36	22	147	194
66797	20	13	784	753
67298	1672	767	12579	9184
66648	62	44	243	217
72128	648	184	959	1036
77976	190	89	170	224
211914	232	123	238	400
242894	125	66	198	126
268935	49	23	11	33
319478	3	0	328	361
104709	1	0	0	2
218914	10993	3393	851	1115
12879	0	0	0	10
57752	390	162	187	405
228812	42	24	46	65
241263	0	0	187	200
232889	13	2	9	13
448850	272	138	115	101
433449	0	0	0	0
257887	0	0	0	0
257900	0	0	0	0
13172	0	0	0	0
246694	314	124	174	210
208643	11159	4048	3182	3200
77864	132	54	22	78
241525	0	0	12	15
381373	0	0	0	1
449000	18	8	3	3
278240	93	56	167	116
381569	0	0	0	0
211488	846	378	664	502
241289	80	41	230	264
270152	0	1	0	0
380842	1	0	0	0
381269	1193	636	31	52
381353	4	1	7	52
381405	3	0	38	30
381678	211	129	38	50
245666	10	6	36	104
104382	0	1	1	0
257889	0	0	0	0
545205	0	0	0	0
257919	0	0	0	0
109658	1258	566	327	395
226517	1402	641	443	572
226652	83	40	0	1
229317	1070	667	141	151
319565	1811	661	860	1302
381983	18	11	88	510
404222	0	0	0	0
433031	0	0	0	0
208606	3152	1247	991	833
257979	0	0	0	0
236509	0	0	0	0
194433	0	0	0	0
11569	1709	553	350	533
192897	32	10	0	7
218194	10	3	176	254
381038	363	183	74	87
12695	913	382	254	382
381549	40	32	14	9
68279	4	1	0	0
11593	120	100	30	71
208166	0	0	0	0
667370	1	0	0	1
68436	196	117	49	54
474145	0	0	0	0
102103	444	202	210	231
52915	43	24	36	116
59079	1195	284	968	1094
474156	294	164	167	187
194227	0	0	0	0
74189	23	11	270	196
11496	260	95	1631	1627
399673	0	0	0	0
403395	0	0	1	0
209512	0	0	0	0
27389	0	0	0	2
332175	18	5	11	7
450219	0	0	0	0
382035	0	0	0	1
433700	0	3	1	1
67338	143	65	16	75
384452	0	0	0	0
66432	709	351	208	219
71591	145	101	399	305
71691	10	4	235	134
73095	10	13	9	23
101966	252	146	177	147
194352	0	0	0	0
215090	19	25	124	161
231570	188	83	901	581
238693	101	56	61	67
245650	0	0	2	3
245695	168	116	59	53
278097	23	9	145	86
329986	0	0	0	0
333564	497	244	0	3
381406	70	37	58	44
382000	0	0	0	0
382427	1	1	0	1
432589	0	0	1	0
433693	1011	601	519	611
104001	12	3	1093	1882
224055	0	0	0	0
76441	3	1	39	60
230837	74	40	22	34
231002	8	6	5	17
12175	709	280	348	385
213043	0	0	1	0
215654	0	3	49	39
217431	1283	543	217	184
233208	182	74	93	227
380768	3	1	59	71
386463	0	0	1	0
386612	241	169	36	47
433365	0	0	0	1
434179	70	26	13	16
434440	0	0	0	0
493809	0	0	0	0
140795	0	0	1	2
71820	98	68	90	113
209513	0	0	0	2
240034	279	146	124	147
241950	80	33	54	56
75553	1130	550	588	601
11539	2	4	142	199
17859	326	177	219	187
69282	0	0	0	1
207728	27	21	79	85
210104	54	27	98	87
211978	229	92	46	120
16190	31	30	15	10
13132	41	22	23	251
231889	1070	598	726	585
494124	0	0	1	0
243574	1055	391	141	102
73750	16	11	19	47
381107	0	1	1	2
74042	0	0	0	0
238405	0	0	0	0
381204	13	4	0	2
382007	0	0	0	0
384806	0	0	0	0
333473	2	0	0	1
381531	0	0	0	0
70450	20	13	0	2
215854	0	0	0	0
494468	48	35	116	88
52398	3304	1177	805	914
215493	1	0	2	9
237781	59	50	87	74
75770	5	13	329	322
56338	1046	1096	261	591
329244	0	0	0	0
75974	1674	522	319	397
228777	0	0	6	6
230125	175	86	196	234
234788	0	0	0	0
382010	843	452	98	141
494519	0	0	0	0
18573	5	6	22	21
76775	291	89	58	92
231630	23	23	67	76
233529	2	0	0	1
209517	0	0	0	0
215855	0	0	0	0
215856	0	0	0	0
215859	0	0	0	0
503558	0	0	0	0
240087	1329	508	158	318
241877	0	0	0	0
276742	0	0	0	0
333654	12	20	2	14
382348	0	0	0	0
435206	0	0	0	0
435207	0	0	0	0
494546	0	0	0	0
14548	29	15	15	20
14623	0	0	2	0
14738	1	0	36	20
15466	1	0	1	1
329460	0	0	0	0
258219	0	0	0	1
258220	0	0	0	0
258222	0	0	0	0
258225	0	0	0	0
258227	0	0	0	0
258228	0	0	0	0
259143	0	0	0	0
259144	0	0	0	0
