Gene_ID	ES_rep1	ES_rep2	TN_rep1	TN_rep2
22746	3	2	3	2
235623	92	18	45	177
238690	14	8	22	16
330369	35	17	55	149
407786	3	0	14	7
407788	4	5	14	41
227933	26	7	42	344
232400	0	0	0	0
407812	110	43	55	66
407819	11	6	22	17
407823	826	206	585	1803
407831	2	0	1	1
408022	281	111	29	93
408058	0	0	0	0
408065	17	7	5	6
408068	16	8	12	19
213550	29	5	22	64
208967	39	12	19	13
241226	66	9	43	75
347710	0	0	0	0
109575	0	0	0	1
70484	27	13	24	18
279028	0	0	0	2
76954	221	61	80	402
69568	579	120	51	291
100038854	0	0	1	0
238023	48	19	61	118
381350	1	0	3	0
231999	94	31	99	177
75400	0	0	0	0
193034	0	0	1	2
226143	1	5	0	0
232878	38	11	8	19
380878	0	0	0	0
387132	0	0	0	0
387513	0	0	0	0
387514	0	0	0	0
387515	0	0	0	0
57776	259	478	419	578
54670	5	4	9	16
215928	0	0	0	0
239283	0	0	0	0
326618	100	35	38	69
385668	2	1	18	30
414077	5	3	2	5
414084	2	0	0	0
414089	1	1	3	5
384701	0	0	0	0
74241	5	2	11	4
69601	462	130	102	601
368202	0	0	0	0
227631	0	0	0	0
234135	367	111	160	857
414801	18	10	10	18
22685	40	19	15	22
107751	1	0	49	21
320940	416	105	172	561
408198	0	0	0	0
384214	6	1	6	11
258248	0	0	0	0
12193	0	1	0	0
258502	0	0	0	0
258420	0	0	0	0
258880	0	0	0	0
258896	0	0	0	0
68481	359	97	56	305
72190	5	5	98	211
269400	360	98	62	135
329152	126	35	370	1487
380969	63	18	42	152
381199	6	1	14	26
14972	4	0	1	1
216238	218	66	241	540
70417	8	2	48	221
77569	150	59	318	1593
195434	273	62	32	87
214239	1	0	4	6
224020	233	158	383	1003
225876	735	195	246	582
269642	6	3	28	26
329540	32	14	71	508
14724	0	0	0	0
72503	276	68	93	195
406218	3	3	31	87
381066	219	43	126	184
16905	19	16	30	45
15512	0	0	0	0
83561	16	2	0	0
319195	5740	5193	4104	3849
72309	0	0	0	0
215798	24	2	20	79
56191	41	9	119	153
103677	562	127	184	962
442809	0	0	0	0
442827	0	0	0	1
442829	0	0	0	0
442835	0	1	0	0
378460	13	2	1	4
30843	9	3	7	32
76858	0	1	0	1
106672	5	2	7	9
107993	0	1	2	2
213948	4	2	1	1
320832	0	0	0	0
380975	0	0	0	0
18619	0	3	5	2
445007	400	107	90	147
232925	0	0	0	0
103964	1	0	0	0
386551	0	0	0	0
431706	43	15	22	13
406220	0	0	0	0
406219	1	0	0	1
